yes,confirm
yeah,confirm
please,confirm
indeed,confirm
sure thing,confirm
one hundred,confirm
one hundred percent, confirm
one hundred percent correct,confirm
yup one hundred,confirm
yeah thats right,confirm
you got it,confirm
yup,confirm
thats correct,confirm
uh huh,confirm
thats right,confirm
yes sir,confirm
thats perfect,confirm
yep exactly,confirm
absolutely,confirm
for sure,confirm
definitely,confirm
thats it,confirm
right on,confirm
you're right,confirm
exactly,confirm
righto,confirm
thats the one,confirm
spot on,confirm
sure do,confirm
thats the ticket,confirm
affirmative,confirm
roger that,confirm
got it,confirm
you bet,confirm
sounds good,confirm
right you are,confirm
sure thing buddy,confirm
indubitably,confirm
nailed it,confirm
you got that right,confirm
all good,confirm
sure did,confirm
thats the truth,confirm
thats accurate,confirm
you know it,confirm
yes indeed,confirm
precisely,confirm
thats so,confirm
you're correct,confirm
affirmative chief,confirm
right on the money,confirm
you've got it,confirm
dead right,confirm
i agree,confirm
that works,confirm
you're spot on,confirm
its true,confirm
yes ma'am,confirm
thats right yeah,confirm
right as rain,confirm
perfecto,confirm
without a doubt,confirm
absolutely right,confirm
yea thats it,confirm
totally,confirm
uh huh thats right,confirm
thats the way,confirm
for sure thats it,confirm
bingo,confirm
oh yeah,confirm
on the dot,confirm
exactly right,confirm
thats the one yeah,confirm
yup you got it,confirm
couldn't agree more,confirm
yeah man,confirm
you got me,confirm
right as can be,confirm
yep that works,confirm
yes that is right,confirm
you're bang on,confirm
word,confirm
yea thats it,confirm
roger,confirm
exactly that,confirm
gotcha,confirm
you hit it,confirm
that is correct,confirm
bang on,confirm
yea you got it,confirm
yes thats accurate,confirm
correctly,confirm
you're right on,confirm
uh huh you got it,confirm
thats exactly it,confirm
spot on you got it,confirm
uh huh yea,confirm
that is right,confirm
yep for sure,confirm
oh absolutely,confirm
that works for me,confirm
that is spot on,confirm
definitely right,confirm
uh huh correct,confirm
yeah thats good,confirm
sure sure,confirm
for certain,confirm
affirmative boss,confirm
without question,confirm
true that,confirm
oh yes,confirm
you got it correct,confirm
thats right on,confirm
bingo you got it,confirm
thats right indeed,confirm
on point,confirm
thats exactly right,confirm
totally right,confirm
you're on it,confirm
yes you hit it,confirm
yeah that works,confirm
agreed,confirm
yup sounds good,confirm
absolutely true,confirm
yeah buddy,confirm
yup totally,confirm
yup thats right,confirm
indeed you got it,confirm
for real,confirm
you got that,confirm
all correct,confirm
sure is,confirm
yup that is correct,confirm
you got it spot on,confirm
sure is boss,confirm
you got it right,confirm
that is totally right,confirm
thats absolutely right,confirm
sure thing that works,confirm
alright you've got it down pat,confirm
yep thats the stuff,confirm
sounds like you nailed it,confirm
yeah man thats the one,confirm
uh huh you're on the money,confirm
yup thats bang on the nose,confirm
yeah buddy you've hit the nail on the head,confirm
thats spot on mate,confirm
for sure you've got it dialed in,confirm
thats right on the button,confirm
oh yeah thats the business,confirm
yep thats dead on,confirm
uh huh you've hit the bullseye,confirm
yeah buddy thats spot on,confirm
yup you've got it down pat,confirm
thats it you've nailed it,confirm
yeah man you've got it figured out,confirm
yep thats exactly right mate,confirm
you've hit the mark,confirm
thats right you've hit the nail on the head,confirm
yeah buddy thats exactly right,confirm
yup thats dead on target,confirm
uh huh you've hit it out of the park,confirm
yep thats absolutely spot on,confirm
yeah buddy you've got it all worked out,confirm
yup thats right on the money,confirm
thats it you've got it nailed down,confirm
yeah man thats exactly what i meant,confirm
yep you've got it figured out mate,confirm
yup you've nailed it right on the head,confirm
uh huh you've hit it perfectly mate,confirm
yeah man you've got it down pat buddy,confirm
yep thats exactly what i was thinking,confirm
thats it you've got it all worked out mate,confirm
uh huh you've nailed it to perfection,confirm
yeah buddy thats right on target,confirm
yup you've got it figured out perfectly,confirm
yeah man thats exactly what i wanted,confirm
yep you've got it all sorted out buddy,confirm
yup thats exactly what i had in mind,confirm
yeah man you've got it locked down perfectly,confirm
yep thats exactly what i was after,confirm
thats correct you've hit it on the nose mate,confirm
thats right you've got it all worked out perfectly,confirm
uh huh you've hit it spot on mate,confirm
yeah buddy you've hit it right on the button,confirm
yup thats exactly what i wanted to hear,confirm
thats correct you've got it all sorted perfectly,confirm
uh huh you've nailed it perfectly mate,confirm
yup thats exactly what i was asking for,confirm
yep thats exactly what i was trying to say,confirm
yup thats exactly what i meant,confirm
yep thats exactly what i was getting at,confirm
exactly what i was talking about,confirm
thats right you've got it all worked out,confirm
you've nailed it to perfection,confirm
you've got it figured out,confirm
yeah buddy you've hit it right,confirm
yup thats exactly what i meant,confirm
thats correct you've got it all sorted out,confirm
yeah man you've got it locked down,confirm
yep thats exactly what i wanted,confirm
you've hit it out of the park,confirm
you've got it dialed in perfectly,confirm
yup thats exactly what i needed,confirm
yeah buddy you've hit it right on the head,confirm
yup thats exactly it,confirm
reckon you've got it,confirm
thats the ticket pardner,confirm
you're on the ball,confirm
right as the mail,confirm
you've hit the jackpot,confirm
you've struck gold,confirm
thats the honest truth,confirm
you've nailed it to the wall,confirm
you're on point partner,confirm
you've nailed it,confirm
you're spot on sport,confirm
you're dead on dude,confirm
you've got it locked in champ,confirm
you're spot on sunshine,confirm
you've hit the mark mate,confirm
you're on point partner,confirm
you're right as rain bucko,confirm
you've nailed it champ,confirm
you're dead on darling,confirm
you're on the money,confirm
you're right as rain partner,confirm
thats the truth,confirm
you've hit it out of the park,confirm
you're dead on dude,confirm
you've got it locked in champ,confirm
you're right on the nose boss,confirm
you're spot on sunshine,confirm
you've hit the mark mate,confirm
based take,confirm
straight fire,confirm
hits different,confirm
mad facts,confirm
slaps hard,confirm
facts only,confirm
smooth like butter,confirm
thats the sauce,confirm
big facts,confirm
correct,confirm
on god,confirm
pure facts,confirm
bro you nailed it,confirm